iter	Passed	Remaining
1164	66808	2007
1165	66875	1950
1166	66936	1892
1167	66994	1835
1168	67050	1778
1169	67105	1720
1170	67167	1663
1171	67228	1606
1172	67288	1548
1173	67346	1491
1174	67411	1434
1175	67472	1376
1176	67528	1319
1177	67584	1262
1178	67639	1204
1179	67696	1147
1180	67753	1090
1181	67818	1032
1182	67867	975
1183	67923	917
1184	67972	860
1185	68014	802
1186	68058	745
1187	68108	687
1188	68154	630
1189	68198	573
1190	68250	515
1191	68298	458
1192	68347	401
1193	68399	343
1194	68459	286
1195	68525	229
1196	68590	171
1197	68653	114
1198	68714	57
1199	68772	0
